C94-1082,"In the central role of heads , LHIP resembles parsers devised by Kay 1989 and van Noord 1991 ; in other respects , including the use which is made of heads , the approaches are rather different , however .",Kay 1989,43,CoCoGM,CoCoGM,UNK,5,TRUE,5,#b4,bibr,Kay (1989),van Noord 1991,96,CoCoGM,CoCoGM,UNK,6,TRUE,84,#b7,bibr,Noord (1991),4,-2,41,N,"In particular, nothing requires that a head of a rule should share any information with the LItS item, although in practice it often will.",4,-1,42,N,"Heads serve as anchor-points in the input string around which islands may be formed, and are accordingly treated before non-head items (RHS items are re-ordered during compilation-see below).",4,0,43,N,"In the central role of heads, LtIIP resembles parsers devised by Kay (1989) and van Noord (1991); in other respects, including the use which is made of heads, the approaches are rather different, however.",,,,,,TRUE,"5,6",TRUE,43,LHIP Overview,1,,,,,,,,,,,Recent proposals include the use of probabilistic methods Briscoe and Carroll 1993 and large robust deterministic systems like Hindle 's Fidditch Hindle 1989 .,Briscoe and Carroll 1993,94,CoCoGM,CoCoGM,UNK,8,TRUE,68,bibr,"Briseoe and Carroll, 1993)",6,-1,162,N,The ability to deal with large amomlts of possibly ill-formed text is one of the principal objectives of current NLP research.,6,0,163,N,"Recent proposals include the use of probabilistic methods (see e.g. Briseoe and Carroll, 1993) and large robust deterministic systems like Hindle's Fidditch (Hindle, 1989).",6,1,164,N,4 Experience so far suggests that systems like LIIIP may in the right circumstances provide an alternative to these approaches.,6,2,165,N,"It combines the advantages of Prolog-interpreted DCGs (ease of modification, parser output suitable for direct use by other programs, etc.) with the ability to relax tile adjacency constraints of that form&llsm in a flexible and dynamic manner.",6,3,166,N,"LIHP is based on the assumption that partial results can be useful (often much more useful than no result at all), and that an approximation to complete coverage is more useful when it comes with indications of how approximate it is.",,,,,,TRUE,"8,9",TRUE,163,Discussion,5,Hindle 1989,171,CoCoGM,CoCoGM,UNK,9,TRUE,157,#b2,bibr,"(Hindle, 1989)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C94-2199,"The existence of such a transformation is known: in Dymetman 1992a,Dymetman 1992, we have recently introduced a ``Generalized Greibach Normal Form'' (GGNF) for DCGs, which leads to termination of top-down interpretation in the OP case .",Dymetman 1992,54,CoCoGM,CoCoGM,UNK,1,FALSE,5,#b0,bibr,"[1,",,,,,,,,,,,,1,-2,12,N,2,1,-1,13,N,Our aim in this paper is to propose a simple transformation lbr an arbitrary OP DCG putting it into a form which leads to the completeness of the direct top-down interpretation by the standard Prolog interpreter: parsing is guaranteed to enumerate all solutions to the parsing problem and terminate.,1,0,14,N,"The e.xistence of such a transformation is kuown: in [1,2], we have recently introduced a ""Generalized Greibach Normal Form"" (GGNF) for DCGs, which leads to termination of top-down interpretation in the OP case.",1,1,15,N,"lIowever, the awdlable presentation of the GGNF transformation is rather complex (it involves an algebraic study of the fixpoints of certain equational systems representing grammars.).",TRUE,"1,2",TRUE,14,Motivation,1,1,2,16,N,"Our aim here is to present a related, but much simpler, transformation, which from a theoretical viewpoint performs somewhat less than the GGNF transformation (it; involves some encoding of the initial DCG, which the (~GNF does not, and it only handles oflline-parsable grammars, while the GGNF is defined for arbitrary DCGs), a but in practice is extremely easy to implement and displays a comparable behavior when parsing with an OP grammar.",1,3,17,N,3'he transformation consists of two steps: (1) emptyproduction elimination and (2) left-recursion elimination.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C94-2202,Our work is related to research by Heid and Raab 1989 .,Heid and Raab 1989,54,CoCoGM,CoCoGM,UNK,7,TRUE,4,#b2,bibr,"(Heid and Raab, 1989)",,,,,,,,,,,,2,-2,15,N,"word sense disambiguation, information retrieval, natural language generation and so on.",2,-1,16,N,"Also, the use of collocations in different applications has been discussed by various authors ((McRoy, 1992), (Pnstejovsky et al., 1992), (Smadja and McKeown, 1990) etc.).",2,0,17,N,"However, collocations are not only considered usefnl, but also a problem both in certain applications (e.g. generation, (Nirenburg et al., 1988), machine translation, (Heid and Raab, 1989)) and fiom a more theoretical point of view (e.g. (Abeill6 and Schabes, 1989), (Krenn and Erbach, to appear)).",2,1,18,N,We have been concerned with investigating the lexical .,TRUE,"6,7,8,9",TRUE,17,Description of the Problem,1,2,2,19,N,"['unctions (IJTs) of Mel'0,uk (Mel'6uk and Zolkovsky, 1984) as a candidate interllngual device for tbe translation of adjectival and verbal collocates.",2,3,20,N,"Our work is related to research by (Heid and Raab, /989).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C98-2187,"Several restrictions on the adjunction operation for TAG have been proposed in the literature Schabes and Waters 1993 , Schabes and Waters 1995 Rogers 1994 .",Schabes and Waters 1993,62,CoCoGM,CoCoGM,UNK,4,TRUE,4,,bibr,"(Schabes and Waters, 1993;",Schabes and Waters 1995,145,CoCoGM,CoCoGM,UNK,5,TRUE,120,,bibr,"Schabes and Waters, 1995)",4,-2,13,N,•,4,-1,14,N,We provide evidence that the proposed subclass still captures the vast majority of TAG analyses that have been currently proposed for the syntax of English and of several other languages.,4,0,15,N,"Several restrictions on the adjunction operation for TAG have been proposed in the literature (Schabes and Waters, 1993;Schabes and Waters, 1995) (Rogers, 1994).",4,1,16,N,"Differently from here, in all those works the main goal was one of characterizing, through the adjunction operation, the set of trees that can be generated by a context-free grammar (CFG).",TRUE,"4,5,6",TRUE,15,Introduction,1,4,2,17,N,"For the sake of critical comparison, we discuss some common syntactic constructions found in current natural language TAG analyses, that can be captured by our proposal but fall outside of the restrictions mentioned above.",,,,,,"Our restriction is fundamentally different from those in Schabes and Waters 1993 , Schabes and Waters 1995 and Rogers 1994 , in that we allow wrapping auxiliary trees to nest inside each other an unbounded number of times , so long as they only adjoin at one place in each others ' spines .",Schabes and Waters 1993,83,CoCoGM,CoCoGM,UNK,8,TRUE,57,bibr,"(Schabes and Waters, 1993;",6,-2,32,N,The above restriction does not in any way constrain adjunction at nodes that are not in the st)ine of ass auxiliary tree.,6,-1,33,N,"Similarly, there is no restriction on the adjunction of left or right trees at the spines of wrapping trees.",6,0,34,N,"Our restriction is fundamentally different from those in (Schabes and Waters, 1993;Schabes and Waters, 1995) and (Rogers, 1994), in that we allow wrapping auxiliary trees to nest inside each other an unbounded number of times, so long as they only adjoin at one place its each others' spines.",6,1,35,N,"Rogers, in contrast, restricts the nesting of wrapping auxiliaries to a number of times bounded by the size of the grammar, and Sehabes and Waters forbid wrapping auxiliaries altogether, at any node in the grammar.",6,2,36,N,"We now focus on the recognition problem, and informally discuss the computational advantages that arise in this task when a TAG obeys the above restriction.",6,3,37,N,These ideas are fl)rmally developed in the next section.,TRUE,"8,9,10",TRUE,34,Overview,2,Schabes and Waters 1995,108,CoCoGM,CoCoGM,UNK,9,TRUE,83,,bibr,"Schabes and Waters, 1995)",Rogers 1994,160,CoCoGM,CoCoGM,UNK,6,TRUE,146,bibr,"(Rogers, 1994)",Rogers 1994,127,CoCoGM,CoCoGM,UNK,10,TRUE,113,bibr,"(Rogers, 1994)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E95-1017,"The main difference between our approach and that of Milward 1992 , Milward 1994a is that it is based on a more expressive grammar formalism , Applicative Categorial Grammar , as opposed to Lexicalised Dependency Grammar .",Milward 1994a,62,CoCoGM,CoCoGM,UNK,13,FALSE,4,#b13,bibr,Milward (1992,,,,,,,,,,,,9,-2,51,N,There are however problems with this kind of approach when features are considered (see e.g. Vijay-Shanker 1992).,9,-1,52,N,"This provides a state-transition or dynamic model of processing, with each state being a pair of a syntactic type and a semantic value.",9,0,53,N,"The main difference between our approach and that of Milward (1992Milward ( , 1994 is that it is based on a more expressive grammar formalism, Applicative Categorial Grammar, as opposed to Lexicalised Dependency Grammar.",9,1,54,N,"Applicative Categorial Grammars allow categories to have arguments which are themselves functions (e.g. very can be treated as a function of a function, and given the type (n/n)/(n/n) when used as an adjectival modifier).",TRUE,"13,14",TRUE,53,Introduction,UNKNOW SECTION NUMBER,9,2,55,N,"The ability to deal with functions of functions has advantages in enabling more elegant linguistic descriptions, and in providing one kind of robust parsing: the parser never fails until the last word, since there could always be a final word which is a function over all the constituents formed so far.",9,3,56,N,"However, there is a corresponding problem of far greater non-determinism, with even unambiguous words allowing many possible transitions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E95-1020,"This differs from previous approaches Finch and Chater 1992 , Schuetze 1993 in which left and right context vectors of a word are always used in one concatenated vector .",Finch and Chater 1992,66,CoCoGM,CoCoGM,UNK,24,TRUE,4,#b14,bibr,"(Finch and Chater, 1992;",Schuetze 1993,77,CoCoGM,CoCoGM,UNK,25,TRUE,62,#b22,bibr,"Schfitze, 1993)",15,-2,124,N,Generalized left context vectors were derived by an analogous procedure using word-based right context vectors.,15,-1,125,N,Note that the information about left and right is kept separate in this computation.,15,0,126,N,"This differs from previous approaches (Finch and Chater, 1992;Schfitze, 1993) in which left and right context vectors of a word are always used in one concatenated vector.",15,1,127,N,There are arguably fewer different types of right syntactic contexts than types of syntactic categories.,TRUE,"24,25",TRUE,126,Generalized context vectors,3.3,15,2,128,N,"For example, transitive verbs and prepositions belong to different syntactic categories, but their right contexts are virtually identical in that they require a noun phrase.",15,3,129,N,This generalization could not be exploited if left and right context were not treated separately.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E95-1024,"By combining the off-line optimization process with a mixed bottom-up / top-down evaluation strategy , we can refrain from a complete reformulation of the grammar as , for example , in Minnen et al. 1995 .",Minnen et al. 1995,68,CoCoGM,CoCoGM,UNK,18,TRUE,4,#b10,bibr,Minnen et al. (1995),,,,,,,,,,,,15,-2,37,N,"A strict topdown evaluation strategy suffers from what may be called head-recursion, i.e. the generation analog of left recursion in parsing.",15,-1,38,N,"Shieber et al. (1990) show that a top-down evaluation strategy will fail for rules such as vP --* vp x, irrespective of the order of evaluation of the right-hand side categories in the rule.",15,0,39,N,"By combining the off-line optimization process with a mixed bottom-up/top-down evaluation strategy, we can refrain from a complete reformulation of the grammar as, for example, in Minnen et al. (1995).",,,,,,TRUE,18,TRUE,39,Advanced Earley Generation,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E95-1030,Atwell 1987 and Church 1989 have used this approach .,Atwell 1987,66,CoCoGM,CoCoGM,UNK,6,TRUE,4,,bibr,"(Atwell, 1987)",Church 1989,33,CoCoGM,CoCoGM,UNK,7,TRUE,19,,bibr,"(Church, 1989)",3,-2,64,N,"In the same way that tags are allocated to words, or to punctuation marks, they can represent the boundaries of syntactic constituents, such as noun phrases and verb phrases.",3,-1,65,N,"Boundary markers can be considered invisible tags, or hypertags, which have probabilistic relationships with adjacent tags in the same way that words do.",3,0,66,N,"(Atwell, 1987) and (Church, 1989) have used this approach.",3,1,67,N,"If embedded syntactic constituents are sought in a single pass, this can lead to computational overload (Pocock and Atwell, 1994).",TRUE,"6,7",TRUE,66,Representing syntactic boundary markers,UNKNOW SECTION NUMBER,3,2,68,N,"Our approach uses a similar concept, but differs in that embedded syntactic constituents are detected one at a time in separate steps.",3,3,69,N,There are only 2 hypertags -the opening and closing brackets marking the possible location(s) of the syntactic constituent in question.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E99-1023,We have compared four complete and three partial data representation formats for the baseNP recognition task presented in Ramshaw and Marcus 1995 .,Ramshaw and Marcus 1995,75,CoCoGM,CoCoGM,UNK,6,TRUE,4,#b5,bibr,"(Ramshaw and Marcus, 1995)",,,,,,,,,,,,3,0,24,N,"We have compared four complete and three partial data representation formats for the baseNP recognition task presented in (Ramshaw and Marcus, 1995).",3,1,25,N,The four complete formats all use an I tag for words that are inside a baseNP and an 0 tag for words that are outside a base,3,2,26,N,NP.,3,3,27,N,They differ IOB1 O  I  I  O  I  I B O  I  O O O  I  I B  I O  IOB2 O B  I  O B  I  B O B O O O B  I  B  I  O  IOE1 O  I  I  O  I  E  I  O  I  O O O  I  E  I  I  O  IOE2 O  I E O  I  E E O E O O O  I  E  I  E O  IO I O  I  I  O  I  I  I  O  I  O O O  I  I  I  I,TRUE,6,TRUE,24,Data representation,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J00-2016,For the French text the tag set described in Chanod and Tapanainen 1994 with 37 different tags is used .,Cutting et al. 1992,83,CoCoGM,CoCoGM,UNK,2,FALSE,4,,bibr,"(Columbus, 1993;",,,,,,,,,,,,1,-1,0,N,"Dordrecht: Kluwer Academic Publishers (Text, speech and language technology series, edited by Nancy Ide and Jean V~ronis, volume 11), 1999, xvii+304 pp;hardbound, ISBN 0-7923-6055-9, $128.00, £79, Dfl 240.00",1,0,1,N,"This volume is a collection of important papers selected from the proceedings of the first three Workshops on Very Large Corpora (Columbus, 1993;Kyoto, 1994;Cambridge, MA, 1995) and the 1995 workshop entitled From Text to Tags (Dublin).",1,1,2,N,"The editors write in their introduction: ""The success of these workshops was in some measure a reflection of the growing popularity of corpus-based methods in the NLP community.",1,2,3,N,"But first and foremost, it was due to the fact that the workshops attracted so many high-quality papers.",TRUE,"2,3,4",TRUE,1,"Dordrecht: Kluwer Academic Publishers (Text, speec",UNKNOW SECTION NUMBER,1,3,4,N,"The importance of this material for the field is such that it deserves to be made more readily available than harder-to-find or out-ofprint workshop proceedings.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P93-1024,"While it may be worthwhile to base such a model on preexisting sense classes Resnik 1992 , in the work described here we look at how to derive the classes directly from distributional data .",Resnik 1992,88,CoCoGM,CoCoGM,UNK,1,TRUE,4,,bibr,"(Resnik, 1992)",,,,,,,,,,,,1,-2,15,N,"His notion of similarity seems to agree with our intuitions in many cases, but it is not clear how it can be used directly to construct word classes and corresponding models of association.",1,-1,16,N,"Our research addresses some of the same questions and uses similar raw data, but we investigate how to factor word association tendencies into associations of words to certain hidden senses classes and associations between the classes themselves.",1,0,17,N,"While it may be worth basing such a model on preexisting sense classes (Resnik, 1992), in the work described here we look at how to derive the classes directly from distributional data.",1,1,18,N,"More specifically, we model senses as probabilistic concepts or clusters c with corresponding cluster membership probabilities p(clw ) for each word w.",TRUE,1,TRUE,17,INTRODUCTION,UNKNOW SECTION NUMBER,1,2,19,N,"Most other class-based modeling techniques for natural language rely instead on ""hard"" Boolean classes (Brown et al., 1990).",1,3,20,N,"Class construction is then combinatorially very demanding and depends on frequency counts for joint events involving particular words, a potentially unreliable source of information as noted above.",Most other class-based modeling techniques for natural language rely instead on `` hard '' Boolean classes Brown et al. 1990 .,Brown et al. 1990,123,CoCoGM,CoCoGM,UNK,2,TRUE,103,bibr,"(Brown et al., 1990)",2,-2,17,N,"While it may be worth basing such a model on preexisting sense classes (Resnik, 1992), in the work described here we look at how to derive the classes directly from distributional data.",2,-1,18,N,"More specifically, we model senses as probabilistic concepts or clusters c with corresponding cluster membership probabilities p(clw ) for each word w.",2,0,19,N,"Most other class-based modeling techniques for natural language rely instead on ""hard"" Boolean classes (Brown et al., 1990).",2,1,20,N,"Class construction is then combinatorially very demanding and depends on frequency counts for joint events involving particular words, a potentially unreliable source of information as noted above.",2,2,21,N,Our approach avoids both problems.,,,,,,TRUE,2,TRUE,19,INTRODUCTION,UNKNOW SECTION NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P94-1008,"Instead , we briefly compare the current work to three previous studies that explicitly tie ellipsis resolution to an account of discourse structure and coherence , namely our previous account Kehler 1993b and the accounts of Pruest 1992 and Asher 1993 .",Pruest 1992,88,CoCoGM,CoCoGM,UNK,27,FALSE,4,#b7,bibr,"(Kehler, 1993b)",Asher 1993,157,CoCoGM,CoCoGM,UNK,28,TRUE,145,#b0,bibr,Asher (1993),20,-2,174,N,"The literature on ellipsis and event reference is voluminous, and so we will not attempt a comprehensive comparison here.",20,-1,175,N,"Instead, we briefly compare the current work to three previous studies that explicitly tie ellipsis 14Sag and Hankamer claim that all such cases of VPellipsis require syntactic antecedents, whereas we suggest that in Coherent Situation relations VP-eUipsis operates more like their Model-Interpretive Anaphora, of which do it is an example.",20,0,176,N,"resolution to an account of discourse structure and coherence, namely our previous account (Kehler, 1993b) and the accounts of Priist (1992) and Asher (1993).",20,1,177,N,"In Kehler (1993b), we presented an analysis of VPellipsis that distinguished between two types of relationship between clauses, parallel and non-parallel.",TRUE,"27,28",TRUE,176,Relationship to Past Work,UNKNOW SECTION NUMBER,20,2,178,N,An architecture was presented whereby utterances were parsed into propositional representations which were subsequently integrated into a discourse model.,20,3,179,N,"It was posited that VP-ellipsis could access either propositional or discourse model representations: in the case of parallel constructions, the source resided in the propositional representation; in the case of non-parallel constructions, the source had been integrated into the discourse model.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P95-1007,"In the test set used here and in that of Resnik 1993 , the proportion of left-branching compounds is 67 % and 64 % respectively .",Resnik 1993,91,CoCoGM,CoCoGM,UNK,25,TRUE,4,#b17,bibr,Resnik (1993),,,,,,,,,,,,18,-2,82,N,Figure 1: Two analysis models and the associations they compare of left and right-branching compounds.,18,-1,83,N,"Lauer and Dras (1994) show that under a dependency model, left-branching compounds should occur twice as often as right-branching compounds (that is twothirds of the time).",18,0,84,N,"In the test set used here and in that of Resnik (1993), the proportion of leftbranching compounds is 67% and 64% respectively.",18,1,85,N,"In contrast, the adjacency model appears to predict a proportion of 50%.",TRUE,25,TRUE,84,Noun Compound Analysis,1.3,18,2,86,N,"The dependency model has also been proposed by Kobayasi et al (1994) for analysing Japanese noun compounds, apparently independently.",18,3,87,N,"Using a corpus to acquire associations, they bracket sequences of Kanji with lengths four to six (roughly equivalent to two or three words).",The equations presented above for the dependency model differ from those developed in Lauer and Dras 1994 in one way .,Lauer and Dras 1994,107,CoCoGM,CoCoGM,UNK,32,FALSE,86,bibr,Lauer and Dras (1994),25,-2,137,N,"In such cases, we observe that the test instance itself provides the information that the event t2 --~ t3 can occur and we recalculate the ratio using Pr(t2 ---* t3) = k for all possible categories t2,t a where k is any non-zero constant.",25,-1,138,N,"However, no correction is made to the probability estimates for Pr(tl --~ t2) and Pr(Q --* t3) for unseen cases, thus putting the dependency model on an equal footing with the adjacency model above.",25,0,139,N,The equations presented above for the dependency model differ from those developed in Lauer and Dras (1994)Lauer and Dras (1994) in one way.,25,1,140,N,"There, an additional weighting factor (of 2.0) is used to favour a left-branching analysis.",25,2,141,N,This arises because their construction is based on the dependency model which predicts that left-branching analyses should occur twice as often.,25,3,142,N,"Also, the work reported in Lauer and Dras (1994) uses simplistic estimates of the probability of a word given its thesaurus category.",TRUE,"32,33",TRUE,139,Analysing the Test Set,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#b10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
